finding_id,problem_group,status,live_path,live_observation,replacement_rows,scope_note,live_commit,evidence_confidence,evidence_gap
DET-PHY-008,1 — Cross-platform physics/weather math,OPEN,common/systems/src/phys/mod.rs:476-620,"Spatial-grid candidates still flow via spatial_grid.in_circle_aabr(...).filter_map(...).for_each(...) directly into mutable vel_delta accumulation through resolve_e2e_collision; no materialized/sorted candidate list exists before accumulation. Re-verified directly against bastion/apex tip (line numbers shifted from the seed's 450-650, code shape unchanged).",APEX-T6.1; APEX-T6.3,Finding remains valid. Ordering must be fixed before numeric representation work.,d1b8948369e00680f193a6935f52f66086aff0fa,SYMBOL-VERIFIED,
DET-PHY-024,1 — Cross-platform physics/weather math,OPEN,"common/systems/src/phys/mod.rs (train integration, powf)",Carried forward from seed characterization; file confirmed present (1717 lines) but train-integration block not independently re-read this pass.,APEX-T6.1; APEX-T6.2; APEX-T6.5; APEX-T6.6,"Deterministic serial execution and a pinned toolchain are prerequisites, not closure of the cross-platform math contract.",d1b8948369e00680f193a6935f52f66086aff0fa,EXISTENCE-VERIFIED,
DET-WTH-003,1 — Cross-platform physics/weather math,OPEN,server/src/weather/sim.rs:62; common/systems/src/phys/weather.rs,humidity: average_humid.powf(0.2).min(1.0) confirmed present verbatim at line 62 of the current tip.,APEX-T6.1; APEX-T6.2; APEX-T6.4; APEX-T6.6,No exact cross-platform claim is supportable while branch-driving std powf remains.,d1b8948369e00680f193a6935f52f66086aff0fa,SYMBOL-VERIFIED,
DET-WTH-010,2 — Prediction/reconciliation,OPEN,client/src/lib.rs:214-280,WeatherLerp still timestamps with std::time::Instant (old/new/old_local_wind/new_local_wind fields) and still writes one local wind sample per update; confirmed present at the current tip.,APEX-T5.1; APEX-T5.4,"Server-authoritative physics opt-in is a migration seam, not a fix for the supported client-predicted path.",d1b8948369e00680f193a6935f52f66086aff0fa,SYMBOL-VERIFIED,
DET-NET-006,2/3 — Prediction and session chronology,PARTIAL,server/src/connection_handler.rs,"T3.3.01-06 landed per-stream sequence/binding machinery (NetEnvelopeHeaderV1{connection_epoch,semantic_stream,sequence}, SemanticSendStateV1/SemanticReceiveStateV1 per-stream cursors; common/net/src/msg/envelope.rs) -- confirmed merged and tested (74d621d0d5). Ordered per-stream promises now have an explicit sequence/epoch, but no cross-stream ordering primitive is defined; connection_handler.rs's own stream-count/ordering is unchanged from the seed characterization.",APEX-T3.3; APEX-T3.4,Per-stream ORDERED promises do not define cross-stream semantic chronology. Per-stream machinery now exists (T3.3.01-06); cross-stream chronology remains the open half.,74d621d0d5,SYMBOL-VERIFIED,
DET-NET-008,2/3 — Prediction and session commands,PARTIAL,common/net/src/msg/client.rs,"T3.3.01 added an explicit CommandId identity slot to the envelope header (NetEnvelopeHeaderV1.command_id: Option<CommandId>; common/net/src/msg/envelope.rs) -- confirmed merged (3e7f33577d). The slot exists structurally but carries no retry semantics: T3.3.08's own server-side validation unconditionally rejects any Some(CommandId) today (SemanticEnvelopeRejectV1::CommandIdUnsupported), explicitly deferred to T3.5 per the envelope module's own doc comments.",APEX-T3.3; APEX-T3.5; APEX-T5.2,"Continuous input and discrete commands need different identity/retry contracts. Identity slot exists (T3.3.01); retry contract remains open, explicitly deferred to T3.5.",3e7f33577d,SYMBOL-VERIFIED,
DET-NET-009,2/3 — Prediction and session replication,PARTIAL,common/net/src/msg/server.rs:82 and ServerGeneral enum,"A real NetEnvelopeHeaderV1 (profile_root, server_boot_id, session_id, connection_epoch, semantic_stream, sequence, payload_digest, ...) now exists, merged and tested (common/net/src/msg/envelope.rs, T3.3.01, 3e7f33577d), built on T3.2's own merged SessionId/ConnectionEpoch (c82acbe78e). The finding's literal claim (""no live NetEnvelope/SessionId/ConnectionEpoch implementation was found"") is now false at the type/implementation level -- but the envelope is not live-wired: T3.3.05's negotiation always resolves Legacy (7cd96219bc), so no production wire traffic uses it yet.",APEX-T3.3; APEX-T3.4,No live NetEnvelope/SessionId/ConnectionEpoch implementation was found. Implementation now exists and is merged (T3.2 + T3.3.01); live wiring is the remaining gap (T3.3.05 negotiation always resolves Legacy today).,74d621d0d5,SYMBOL-VERIFIED,
DET-NET-013,3 — Session/entity lifecycle,OPEN,common/net/src/sync/sync_ext.rs:170-185,"create_entity_with_uid still returns the existing entity for a duplicate UID, with the identical unresolved 'Are there any expected cases...' TODO comment verbatim.",APEX-T3.1; APEX-T3.3; APEX-T3.4,Corrected target is an explicit duplicate-create/boot/snapshot policy; universal incarnation increment on every ECS remap is not required.,d1b8948369e00680f193a6935f52f66086aff0fa,SYMBOL-VERIFIED,
DET-NET-022,3 — Session/transport lifecycle,SUPERSEDED,network/protocol/src/tcp.rs,"Carried forward -- architectural/policy decision (transport Mid should stay transport-local), not a code fact that changes with more commits; file confirmed present. Fresh evidence: T3.2's SessionRegistry/SessionId/ConnectionEpoch (server/src/session_registry.rs, c82acbe78e) is now the real, merged, tested application-level session/epoch/sequence layer this finding names as the correct locus -- strengthening the SUPERSEDED classification with landed code instead of a forward reference.",APEX-T3.2; APEX-T3.3,"Do not globalize transport Mid. The open contract is app-level session/epoch/sequence, covered by replacement rows.",c82acbe78e,SYMBOL-VERIFIED,
DET-NET-024,3 — Session/transport lifecycle,SUPERSEDED,network/src/scheduler.rs,"Carried forward -- same reasoning as DET-NET-022; file confirmed present. Fresh evidence: T3.2's SessionRegistry/SessionId (server/src/session_registry.rs, c82acbe78e) confirms application session identity is now real, merged, and independent of transport Cid -- the finding's own ""remove Cid from semantic identity"" resolution is realized in landed code, not just policy.",APEX-T3.2; APEX-T3.3,Original direct-fix interpretation is superseded. Remove Cid from semantic identity/ordering rather than stabilizing arrival allocation.,c82acbe78e,SYMBOL-VERIFIED,
